"id"	"gender"	"gname"	"fname"	"postcode"	"age"	"occup"
"000"	"f"	"catherine"	"mccartxhy"	2614	"f"	9
"001"	"m"	"etjaf"	"vodden"	2906	NA	1
"002"	"m"	"rory"	"drysda|e"	2615	"d"	NA
"003"	"f"	"che1sea"	"th0rp"	2602	"d"	8
"004"	"m"	"nicholas"	"green"	2913	NA	NA
"005"	"f"	"ella"	"agius"	2913	"a"	NA
"006"	"m"	"harrison"	"clarke"	2903	NA	NA
"007"	"f"	"tahlia"	"monfa"	2913	NA	2
"008"	"f"	"ellouise"	"stokker"	2902	"d"	NA
"009"	"f"	"heather"	"edson"	2617	NA	NA
"010"	"f"	"rhiannon"	"irons"	2903	"s"	NA
"011"	"m"	"jakop"	"gaskin"	2611	NA	3
"012"	"f"	"lilb"	"berty"	2603	"a"	4
"013"	"m"	"joel"	"nguyon"	2615	"s"	1
"014"	"f"	"alesssndra"	"kearnes"	2614	"d"	3
"015"	"f"	"emiily"	"carifano"	2620	"f"	3
"016"	"m"	"harrison"	"stanley"	2617	"j"	NA
"017"	"f"	"jase"	"wang"	2617	"s"	2
"018"	"m"	"broyie"	"wijeman"	2905	"f"	2
"019"	"m"	"zarran"	"lil"	2605	"f"	2
"020"	"f"	"isabella"	"plackwell"	2914	"f"	NA
"021"	"f"	"chariotte"	"mclagferty"	2612	"f"	4
"022"	"f"	"lyna"	"dixon"	2906	"d"	7
"023"	"f"	"jenna"	"dargenio"	2602	"f"	NA
"024"	"f"	"kate1yn"	"trowse"	2617	"s"	6
"025"	"f"	"annaq"	"weelius"	2602	NA	1
"026"	"f"	"olivoa"	"wednaier"	2600	"d"	2
"027"	"f"	"caitkin"	"white"	2606	"g"	2
"028"	"m"	"stephrn"	"pascoe"	2617	NA	2
"029"	"f"	"apii"	"bowes-jobnston"	2611	"h"	3
"030"	"m"	"jasper"	"webb"	2911	"s"	4
"031"	"f"	"pasvcaole"	"campain"	2905	NA	4
"032"	"f"	"olivia"	"ryn"	2607	NA	2
"033"	"f"	"katelyn"	"lowe"	2900	NA	3
"034"	"f"	"da1<ara"	"mason"	2607	"h"	NA
"035"	"m"	"fergugs"	"coffey"	2612	"d"	NA
"036"	"f"	"zars"	"brain"	2903	NA	3
"037"	"m"	"rileu"	"thorpe"	2603	"s"	NA
"038"	"f"	"maly"	"dixon"	2611	NA	5
"039"	"m"	"benjamin"	"mylej"	2602	NA	2
"040"	"m"	"elki"	"marshman"	2905	NA	3
"041"	"f"	"elli"	"crofts"	2913	NA	NA
"042"	"m"	"james"	"lathovras"	2607	"f"	NA
"043"	"f"	"makayla"	"bishop"	2617	"s"	7
"044"	"m"	"riley"	"prim9le"	2615	"d"	NA
"045"	"f"	"laura"	"sbepherd"	2612	"f"	NA
"046"	"m"	"laxhlan"	"campbell"	2905	"g"	NA
"047"	"m"	"conor"	"carberry"	2614	"s"	NA
"048"	"m"	"tylwr"	"montroy"	2602	NA	2
"049"	"f"	"charlotee"	"herbert"	2606	NA	6
"050"	"m"	"izaac"	"clidby"	2605	NA	1
"051"	"m"	"jack"	"hallock"	2614	"g"	5
"052"	"f"	"neve"	"aptist"	2913	"f"	NA
"053"	"f"	"lauren"	"dixon"	2906	NA	NA
"054"	"m"	"patrick"	"whatley"	2615	"d"	3
"055"	"f"	"jade"	"robson"	2617	"s"	NA
"056"	"m"	"zesse"	"noack"	2606	NA	6
"057"	"m"	"jaydsn"	"chancller"	2905	"s"	8
"058"	"f"	"trinity"	"cadmam"	2615	"j"	5
"059"	"f"	"sophie"	"ban"	2904	NA	5
"060"	"m"	"oakleigh"	"hisop"	2906	"h"	NA
"061"	"m"	"james"	"mccaahyhy"	2913	"d"	NA
"062"	"f"	"elliw"	"emerton"	2617	"h"	1
"063"	"f"	"isabella"	"meedaris"	2612	"s"	8
"064"	"m"	"jwsse"	"shepherd"	2611	"a"	9
"065"	"m"	"kyle"	"metheeell"	2615	"f"	2
"066"	"m"	"james"	"dixin"	2611	"h"	1
"067"	"m"	"daniuel"	"garcis"	2903	"f"	8
"068"	"f"	"emma"	"hyland"	2904	"h"	NA
"069"	"m"	"jairus"	"mclellanv"	2906	"f"	6
"070"	"f"	"samantha"	"tweefie"	2607	"f"	1
"071"	"m"	"drevv"	"heron"	2614	"d"	2
"072"	"m"	"jasper"	"wodton"	2615	NA	6
"073"	"m"	"jetr"	"ayres"	2617	"g"	NA
"074"	"m"	"liam"	"mcclelland"	2602	"s"	NA
"075"	"f"	"alytha"	"harrington"	2602	NA	3
"076"	"m"	"nicholaa"	"dobrigna"	2600	NA	3
"077"	"m"	"anton"	"yen"	2614	"d"	2
"078"	"f"	"kylie"	"slavica"	2602	NA	5
"079"	"m"	"jack"	"weaveil"	2615	"f"	NA
"080"	"m"	"brodee"	"e1>ert"	2611	NA	6
"081"	"m"	"jaxtn"	"sevi"	2603	NA	2
"082"	"f"	"isabelja"	"vorrasi"	2615	"s"	NA
"083"	"m"	"bayley"	"kilesza"	2602	NA	2
"084"	"f"	"loui5e"	"clatkce"	2604	"a"	6
"085"	"m"	"matthew"	"nkuyen"	2902	NA	2
"086"	"f"	"caitlin"	"waljey"	2902	NA	5
"087"	"m"	"willyam"	"leon"	2615	NA	8
"088"	"m"	"trab:s"	"tiller"	2906	"h"	2
"089"	"m"	"sam"	"lnodder"	2900	"f"	NA
"090"	"m"	"ca'ln"	"aldous"	2611	"g"	2
"091"	"m"	"flynm"	"mccaffrey"	2617	"s"	9
"092"	"f"	"chloe"	"fucklerton"	2603	"f"	8
"093"	"m"	"connoe"	"stubbs"	2603	"d"	3
"094"	"f"	"teilrahu"	"gillard"	2615	"d"	NA
"095"	"m"	"evan"	"miljar"	2604	NA	7
"096"	"f"	"louije"	"van heythuysen"	2904	NA	1
"097"	"m"	"dante"	"moo"	2604	NA	5
"098"	"m"	"joel"	"ryan"	2607	NA	5
"099"	"m"	"josgva"	"catman"	2615	"k"	7
"100"	"f"	"chloe"	"papazaxharoudakis"	2904	NA	1
"101"	"f"	"lara"	"thorpo"	2617	"h"	1
"102"	"f"	"ellen"	"bekwith"	2600	"a"	NA
"103"	"m"	"dleackin"	"berry"	2605	"d"	NA
"104"	"m"	"samurl"	"asche"	2611	"g"	NA
"105"	"f"	"caitkin"	"fe:l"	2906	"a"	6
"106"	"f"	"samantha"	"zejfet"	2611	"f"	NA
"107"	"m"	"jarrid"	"greatwikh"	2615	"f"	5
"108"	"f"	"ksiley"	"beal"	2602	"f"	5
"109"	"f"	"natalee"	"lindschau"	2611	"d"	4
"110"	"m"	"benzamin"	"mcgregor"	2612	"d"	NA
"111"	"m"	"connoah"	"nguyen"	2603	"h"	NA
"112"	"m"	"jack5on"	"coleman"	2606	"j"	7
"113"	"m"	"dan:el"	"yost"	2617	NA	3
"114"	"m"	"locgan"	"brown"	2603	"h"	6
"115"	"f"	"tess"	"gruvb"	2604	"h"	4
"116"	"m"	"zac"	"quan"	2611	"h"	NA
"117"	"f"	"talia"	"rawlingd"	2614	"d"	3
"118"	"f"	"mjt"	"white"	2602	"g"	7
"119"	"m"	"braedon"	"maynerd"	2602	NA	4
"120"	"f"	"roda"	"nolole"	2903	"j"	7
"121"	"m"	"connor"	"burford"	2612	NA	NA
"122"	"m"	"macoriiiack"	"rice"	2607	"f"	7
"123"	"f"	"maceu"	"clafrke"	2605	"f"	5
"124"	"m"	"jac1<"	"cheshire"	2604	"f"	3
